image,class_label,language
images/training/original\0000002206.jpg,original,en
images/training/original\0000009994.jpg,original,en
images/training/original\0000018957.jpg,original,en
images/training/original\0000022394.jpg,original,en
images/training/original\0000041346.jpg,original,en
images/training/original\0000044406.jpg,original,en
images/training/original\0000046972.jpg,original,en
images/training/original\0000046987.jpg,original,en
images/training/original\0000046991.jpg,original,en
images/training/original\0000049685.jpg,original,en
images/training/original\0000049717.jpg,original,en
images/training/original\0000056745.jpg,original,en
images/training/original\0000057463.jpg,original,en
images/training/original\0000057793.jpg,original,en
images/training/original\0000059158.jpg,original,en
images/training/original\0000059653.jpg,original,en
images/training/original\0000060883.jpg,original,en
images/training/original\0000064508.jpg,original,en
images/training/original\0000064525.jpg,original,en
images/training/original\0000066230.jpg,original,en
images/training/original\0000066686.jpg,original,en
images/training/original\0000071603.jpg,original,en
images/training/original\0000073682.jpg,original,en
images/training/original\0000073933.jpg,original,en
images/training/original\0000074457.jpg,original,en
images/training/original\0000075334.jpg,original,en
images/training/original\0000076288.jpg,original,en
images/training/original\0000079198.jpg,original,it
images/training/original\0000088354.jpg,original,en
images/training/original\0000090961.jpg,original,hu
images/training/original\0000092722.jpg,original,en
images/training/original\0000102763.jpg,original,en
images/training/original\0000106414.jpg,original,en
images/training/original\0000106745.jpg,original,unknown
images/training/original\0000107738.jpg,original,en
images/training/original\0000109708.jpg,original,en
images/training/original\0000113681.jpg,original,en
images/training/original\0000116109.jpg,original,unknown
images/training/original\0000126151.jpg,original,unknown
images/training/original\0000126164.jpg,original,en
images/training/original\0000128637.jpg,original,en
images/training/original\0000128669.jpg,original,en
images/training/original\0000129172.jpg,original,en
images/training/original\0000136986.jpg,original,de
images/training/original\0000137069.jpg,original,en
images/training/original\0000137486.jpg,original,en
images/training/original\0000137752.jpg,original,en
images/training/original\0000146473.jpg,original,en
images/training/original\00001486.jpg,original,en
images/training/original\0000153376.jpg,original,en
images/training/original\0000158166.jpg,original,et
images/training/original\0000168392.jpg,original,lt
images/training/original\0000171539.jpg,original,en
images/training/original\0000175122.jpg,original,en
images/training/original\0000175183.jpg,original,en
images/training/original\0000175222.jpg,original,en
images/training/original\0000175240.jpg,original,en
